충전소명,주소,Latitude,Longitude,ID,충전기 형태,충전기 용량,x,y
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,35.6940288,128.4584036,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,35.6940288,128.4584036,2,DC차데모+AC3상+DC콤보,50kW,,
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,35.6940288,128.4584036,3,AC완속,7kW,,
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,35.6940288,128.4584036,4,AC완속,7kW,,
대구시_유가읍 행정복지센터,대구광역시 달성군 유가읍 테크노상업로 95,35.6940288,128.4584036,5,AC완속,7kW,,
대구시_유천동 행정복지센터,대구광역시 달서구 조암로 175유천동행정복지센터(유천동 606),35.8174255,128.5141095,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_장기공영주차장,대구광역시 달서구 장기로 277장기공영주차장,35.8432804,128.529941,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_저소득층 밀집지구 지식산업센터,대구광역시 수성구 알파시티1로 160저소득층 밀집지구 지식산업센터,35.8357466,128.6824785,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_중구청,대구광역시 중구 국채보상로139길 1,35.8694537,128.6060258,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_지능형자동차부품진흥원,대구광역시 달성군 구지면 국가산단서로 201지능형자동차부품진흥원(창리 945),35.6481281,128.3985328,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_지능형자동차부품진흥원,대구광역시 달성군 구지면 국가산단서로 201지능형자동차부품진흥원(창리 945),35.6481281,128.3985328,2,DC차데모+AC3상+DC콤보,50kW,,
대구시_지산2동,대구광역시 수성구 용학로33길 9대구시_지산2동,35.8232441,128.6282509,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_지저동,대구광역시 동구 해동로3길 80대구시_지저동,35.8934469,128.6382095,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_진천삼성래미안,대구광역시 달서구 상화로8길 23,35.8070225,128.5180704,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_진천삼성래미안,대구광역시 달서구 상화로8길 23,35.8070225,128.5180704,2,AC완속,7kW,,
대구시_진천삼성래미안,대구광역시 달서구 상화로8길 23,35.8070225,128.5180704,3,AC완속,7kW,,
대구시_차량등록사업소,대구광역시 수성구 동원로 84,35.8668058,128.6396357,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_칠성동,대구광역시 북구 칠성로19길 4대구시_칠성동,35.8788876,128.6001575,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_침산푸르지오,대구광역시 북구 옥산로 103,35.8844426,128.5873129,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_침산푸르지오,대구광역시 북구 옥산로 103,35.8844426,128.5873129,2,AC완속,7kW,,
대구시_침산푸르지오,대구광역시 북구 옥산로 103,35.8844426,128.5873129,3,AC완속,7kW,,
대구시_태전1동 행정복지센터,대구광역시 북구 태전로7길 10-24,35.9240909,128.5432495,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_태전2동,대구광역시 북구 칠곡중앙대로52길 32대구시_태전2동,35.9214406,128.5487131,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_태전공원,대구광역시 북구 영송로 70태전공원 실외(태전동 943),35.931491,128.5446241,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_하빈면사무소,대구광역시 달성군 하빈면 하빈로84길 1,35.9013105,128.4460643,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_한국도로공사(유천IC),대구광역시 달성군 화원읍 성천로 208한국도로공사(유천IC),35.8108345,128.5023669,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_한국도로공사(유천IC),대구광역시 달성군 화원읍 성천로 208한국도로공사(유천IC),35.8108345,128.5023669,2,DC차데모+AC3상+DC콤보,50kW,,
대구시_황금1동 행정복지센터,대구광역시 수성구 청호로57길 10,35.8440863,128.6382529,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_효목1동 행정복지센터,대구광역시 동구 화랑로41길 46,35.8817335,128.6449448,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_효목2동,대구광역시 동구 화랑로25길 45대구시_효목2동,35.8781338,128.6413536,1,DC차데모+AC3상+DC콤보,100kW,,
